latitude,longitude,stars,Alcohol,GoodForKids,RestaurantsAttire,RestaurantsDelivery,RestaurantsReservations,Ambience.casual,Ambience.classy,name,business_id,suggestion
41.396544,-81.465911,3.5,0,1,0,0,1,1,0,Nobu Tei,B_hU-QEkt5G98pYGdfIrsg,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should at least provide some alcoholic beverage offered in common bars. If condtion permits, provide beer and wine are better. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
40.4381076,-80.0185368,3,2,1,0,0,1,0,0,Grandview Saloon,lpxj6LFir23Ds6swW8a6fg,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
43.1489218,-89.4070057,3.5,2,0,0,0,1,0,0,Mariner's Inn,2vzUzl31fFLHKhM6px-rbg,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
41.4547126,-81.4437063,4,2,0,1,0,1,0,1,ML Tavern,J4fxdRNWmqckOHTPJocWEw,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
Try to make the atmosphere more casual. 
"
40.44709213,-80.00404638,3,2,1,0,0,1,1,0,Atria's Restaurant,qELIf4gzE_vlteu7pO7TZg,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
40.439454,-80.003658,4,2,0,1,0,1,0,1,Ruths Chris Steak House,szGbmw_vq3kVU4SfK1x6Sw,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
Try to make the atmosphere more casual. 
"
40.327443,-80.034616,3.5,2,1,0,0,1,0,0,Ann's Chophouse,CNklj3fFmwXL13AyvjfV5w,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
43.07393002,-89.37962415,4,2,0,1,0,1,0,1,Tempest Oyster Bar,d6VYQbeTZ_WdD8Uuhh35dg,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
Try to make the atmosphere more casual. 
"
41.1305113,-81.6543561,3.5,2,1,0,0,1,1,0,Wasabi Japanese Steak House,K8iNH0OEhS7vZLVyuO1v4A,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
43.1832054,-89.2140966,2,2,1,0,0,1,0,0,Baba's Supper Club,HOgLMfPB11zz7BsYkFSz0g,"Not a satisfied Steakhouse! Some suggestions that make you a good steakhouse: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
